counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,A,9828,1,1,34,605.2,153.8,64
1,A,9828,1,2,36,605.2,103.8,30
1,A,9828,2,3,35,605.2,153.8,64
1,A,9828,1,4,36,605.2,103.8,30
1,A,9828,7,5,32,605.2,153.8,64
1,A,9828,3,6,35,605.2,103.8,30
1,A,9828,26,7,31,605.2,153.8,65
1,A,9828,20,8,35,605.2,103.8,31
1,A,9828,92,9,30,605.2,153.8,67
1,A,9828,71,10,36,605.2,103.8,35
1,A,9828,30,11,32,605.2,153.8,65
1,A,9828,28,12,35,605.2,103.8,32
2,A,478,2,1,34,605.2,153.8,64
2,A,478,1,2,36,605.2,103.8,30
2,A,478,2,3,35,605.2,153.8,64
2,A,478,1,4,36,605.2,103.8,30
2,A,478,1,5,32,605.2,153.8,64
2,A,478,1,6,35,605.2,103.8,30
2,A,478,2,7,31,605.2,153.8,65
2,A,478,1,8,35,605.2,103.8,31
2,A,478,7,9,30,605.2,153.8,67
2,A,478,5,10,36,605.2,103.8,35
2,A,478,6,11,32,605.2,153.8,65
2,A,478,4,12,35,605.2,103.8,32
3,A,16588,3,1,34,605.2,153.8,64
3,A,16588,1,2,36,605.2,103.8,30
3,A,16588,2,3,35,605.2,153.8,64
3,A,16588,2,4,36,605.2,103.8,30
3,A,16588,15,5,32,605.2,153.8,64
3,A,16588,12,6,35,605.2,103.8,30
3,A,16588,48,7,31,605.2,153.8,65
3,A,16588,38,8,35,605.2,103.8,31
3,A,16588,30,9,30,605.2,153.8,67
3,A,16588,28,10,36,605.2,103.8,35
3,A,16588,68,11,32,605.2,153.8,65
3,A,16588,59,12,35,605.2,103.8,32
4,A,6557,6,1,34,605.2,153.8,64
4,A,6557,4,2,36,605.2,103.8,30
4,A,6557,15,3,35,605.2,153.8,64
4,A,6557,10,4,36,605.2,103.8,30
4,A,6557,8,5,32,605.2,153.8,64
4,A,6557,6,6,35,605.2,103.8,30
4,A,6557,13,7,31,605.2,153.8,65
4,A,6557,10,8,35,605.2,103.8,31
4,A,6557,15,9,30,605.2,153.8,67
4,A,6557,12,10,36,605.2,103.8,35
4,A,6557,28,11,32,605.2,153.8,65
4,A,6557,17,12,35,605.2,103.8,32
5,A,2516,2,1,34,605.2,153.8,64
5,A,2516,1,2,36,605.2,103.8,30
5,A,2516,2,3,35,605.2,153.8,64
5,A,2516,3,4,36,605.2,103.8,30
5,A,2516,7,5,32,605.2,153.8,64
5,A,2516,5,6,35,605.2,103.8,30
5,A,2516,18,7,31,605.2,153.8,65
5,A,2516,12,8,35,605.2,103.8,31
5,A,2516,12,9,30,605.2,153.8,67
5,A,2516,15,10,36,605.2,103.8,35
5,A,2516,16,11,32,605.2,153.8,65
5,A,2516,8,12,35,605.2,103.8,32
6,A,1119,1,1,34,605.2,153.8,64
6,A,1119,2,2,36,605.2,103.8,30
6,A,1119,3,3,35,605.2,153.8,64
6,A,1119,1,4,36,605.2,103.8,30
6,A,1119,2,5,32,605.2,153.8,64
6,A,1119,1,6,35,605.2,103.8,30
6,A,1119,2,7,31,605.2,153.8,65
6,A,1119,2,8,35,605.2,103.8,31
6,A,1119,17,9,30,605.2,153.8,67
6,A,1119,20,10,36,605.2,103.8,35
6,A,1119,19,11,32,605.2,153.8,65
6,A,1119,21,12,35,605.2,103.8,32
7,A,2754,2,1,34,605.2,153.8,64
7,A,2754,2,2,36,605.2,103.8,30
7,A,2754,3,3,35,605.2,153.8,64
7,A,2754,1,4,36,605.2,103.8,30
7,A,2754,13,5,32,605.2,153.8,64
7,A,2754,11,6,35,605.2,103.8,30
