counts,company,Nums,Fault,Year,Tem,hPa,Lux,RH
1,B,354052,6,1,55,1003.5,367.68,45.9
1,B,354052,6,2,57,1003.5,327.68,18.3
1,B,354052,125,3,47,1003.5,367.68,45.9
1,B,354052,100,4,56,1003.5,327.68,18.3
1,B,354052,122,5,42,1003.5,367.68,45.9
1,B,354052,108,6,49,1003.5,327.68,18.3
1,B,354052,224,7,51,1003.5,367.68,45.9
1,B,354052,183,8,58,1003.5,327.68,18.3
1,B,354052,279,9,51,1003.5,367.68,46
1,B,354052,200,10,48,1003.5,327.68,18.3
1,B,354052,360,11,46,1003.5,367.68,45.9
1,B,354052,220,12,52,1003.5,327.68,18.3
2,B,77193,1,1,55,1003.5,367.68,45.9
2,B,77193,1,2,57,1003.5,327.68,18.3
2,B,77193,5,3,47,1003.5,367.68,45.9
2,B,77193,4,4,56,1003.5,327.68,18.3
2,B,77193,20,5,42,1003.5,367.68,45.9
2,B,77193,17,6,49,1003.5,327.68,18.3
2,B,77193,27,7,51,1003.5,367.68,45.9
2,B,77193,20,8,58,1003.5,327.68,18.3
2,B,77193,19,9,51,1003.5,367.68,46
2,B,77193,16,10,48,1003.5,327.68,18.3
2,B,77193,59,11,46,1003.5,367.68,45.9
2,B,77193,48,12,52,1003.5,327.68,18.3
3,B,31963,1,1,55,1003.5,367.68,45.9
3,B,31963,1,2,57,1003.5,327.68,18.3
3,B,31963,5,3,47,1003.5,367.68,45.9
3,B,31963,3,4,56,1003.5,327.68,18.3
3,B,31963,19,5,42,1003.5,367.68,45.9
3,B,31963,18,6,49,1003.5,327.68,18.3
3,B,31963,7,7,51,1003.5,367.68,45.9
3,B,31963,6,8,58,1003.5,327.68,18.3
3,B,31963,9,9,51,1003.5,367.68,46
3,B,31963,7,10,48,1003.5,327.68,18.3
3,B,31963,46,11,46,1003.5,367.68,45.9
3,B,31963,40,12,52,1003.5,327.68,18.3
4,B,11418,1,1,55,1003.5,367.68,45.9
4,B,11418,1,2,57,1003.5,327.68,18.3
4,B,11418,6,3,47,1003.5,367.68,45.9
4,B,11418,4,4,56,1003.5,327.68,18.3
4,B,11418,34,5,42,1003.5,367.68,45.9
4,B,11418,30,6,49,1003.5,327.68,18.3
4,B,11418,26,7,51,1003.5,367.68,45.9
4,B,11418,22,8,58,1003.5,327.68,18.3
4,B,11418,29,9,51,1003.5,367.68,46
4,B,11418,25,10,48,1003.5,327.68,18.3
4,B,11418,25,11,46,1003.5,367.68,45.9
4,B,11418,21,12,52,1003.5,327.68,18.3
5,B,12966,1,1,55,1003.5,367.68,45.9
5,B,12966,1,2,57,1003.5,327.68,18.3
5,B,12966,3,3,47,1003.5,367.68,45.9
5,B,12966,2,4,56,1003.5,327.68,18.3
5,B,12966,7,5,42,1003.5,367.68,45.9
5,B,12966,5,6,49,1003.5,327.68,18.3
5,B,12966,8,7,51,1003.5,367.68,45.9
5,B,12966,6,8,58,1003.5,327.68,18.3
5,B,12966,7,9,51,1003.5,367.68,46
5,B,12966,6,10,48,1003.5,327.68,18.3
5,B,12966,25,11,46,1003.5,367.68,45.9
5,B,12966,19,12,52,1003.5,327.68,18.3
6,B,6533,1,1,55,1003.5,367.68,45.9
6,B,6533,2,2,57,1003.5,327.68,18.3
6,B,6533,2,3,47,1003.5,367.68,45.9
6,B,6533,1,4,56,1003.5,327.68,18.3
6,B,6533,34,5,42,1003.5,367.68,45.9
6,B,6533,28,6,49,1003.5,327.68,18.3
6,B,6533,6,7,51,1003.5,367.68,45.9
6,B,6533,4,8,58,1003.5,327.68,18.3
6,B,6533,32,9,51,1003.5,367.68,46
6,B,6533,30,10,48,1003.5,327.68,18.3
6,B,6533,28,11,46,1003.5,367.68,45.9
6,B,6533,20,12,52,1003.5,327.68,18.3
7,B,33093,1,1,55,1003.5,367.68,45.9
7,B,33093,1,2,57,1003.5,327.68,18.3
7,B,33093,1,3,47,1003.5,367.68,45.9
7,B,33093,1,4,56,1003.5,327.68,18.3
7,B,33093,2,5,42,1003.5,367.68,45.9
7,B,33093,1,6,49,1003.5,327.68,18.3
7,B,33093,26,7,51,1003.5,367.68,45.9
7,B,33093,19,8,58,1003.5,327.68,18.3
7,B,33093,13,9,51,1003.5,367.68,46
7,B,33093,10,10,48,1003.5,327.68,18.3
7,B,33093,18,11,46,1003.5,367.68,45.9
7,B,33093,14,12,52,1003.5,327.68,18.3
